missionId,missionLaunchDate,missionOrigin,missionDuration (in months),missionType,missionDescription,employmentRequirements,age,minimum years of experience,qualifications,occupations,minimum computer skills required,language required,secondary language,cargo for?,cargo required,quantity required (for each)
7105,30/12/2020,Australia,69,roads,"Donec felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue",painter,24-45,4yr,BE,manufacturer,advanced,english,"french, arabic, bengali",journey,"beef, noodles, chicken, desserts",433
7108,27/08/2023,Russian Federation,65,architecture,"odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis a, magna.",,24-50,10yr,MBBS,manufacturer,advanced,english,,journey,"noodles, sandwiches, chicken",165
7111,21/05/2023,United Kingdom,89,,"molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus",,24-50,3yr,MBS,nurse,intermediate,english,"russian, punjabi",mission,,322
7114,08/12/2025,Russian Federation,89,,tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus.,general practitioner,24-45,3yr,MS,nurse,intermediate,english,"javanese, bengali, french",journeyAndMission,"surgical, seeds, pork",499
7117,16/11/2025,Germany,59,prison,"vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in",general practitioner,18-32,3yr,BE,nurse,expert,english,,journeyAndMission,wood,174
7120,23/02/2024,United States,97,,Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla,civil engineer,24-50,3yr,BDS,builder,advanced,english,,mission,"seafood, water",220
7123,28/05/2021,United Kingdom,99,"town planning, roads","malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris",surgeon,18-32,7yr,BDS,civil engineer,intermediate,english,"persian, telugu, greek",mission,"seeds, salads, cereals",338
7126,17/05/2025,Germany,62,"medical, town planning","eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae",,24-50,5yr,MIT,general practitioner,advanced,english,"arabic, italian",journey,"sandwiches, wood",298
7129,14/01/2021,Australia,95,prison,"id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget,",general practitioner,24-50,7yr,MIT,surgeon,advanced,english,"arabic, bengali, french",mission,"beef, pork, wood, noodles",226
7132,15/11/2021,Germany,61,,"eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum.",general practitioner,18-50,5yr,BDS,builder,expert,english,greek,journey,"pork, wood",230
7135,28/01/2021,Austria,50,medical,"Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent",general practitioner,18-50,10yr,ME,manufacturer,advanced,english,,journeyAndMission,,36
7138,05/11/2020,Germany,63,railways,enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla,general practitioner,24-50,3yr,MBBS,nurse,expert,english,arabic,journey,,204
7141,07/03/2025,New Zealand,31,"infrastructure, town planning","sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices.",nurse,18-32,3yr,MBS,manufacturer,advanced,english,italian,journey,desserts,46
7144,27/12/2020,Russian Federation,86,"town planning, railways",dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus.,nurse,18-50,3yr,MBBS,,intermediate,english,greek,journeyAndMission,"desserts, wood",484
7147,27/10/2021,Australia,32,"town planning, prison","taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac",builder,18-32,2yr,MIT,painter,intermediate,english,"telugu, arabic",journey,"pasta, sandwiches, desserts, water",154
7150,07/06/2025,Austria,98,,fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam,nurse,24-50,6yr,BE,electrician,intermediate,english,persian,mission,"pies, sandwiches, pasta",362
7153,04/03/2021,Germany,82,agriculture,"odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim.",civil engineer,24-50,3yr,MS,painter,advanced,english,"french, greek, mandarin",journeyAndMission,"cereals, desserts, salads, seafood",322
7156,30/01/2024,India,65,medical,nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh.,manufacturer,24-45,6yr,MIT,builder,expert,english,persian,journeyAndMission,"soups, pies, water, wood",46
7159,14/07/2021,India,57,"prison, medical","eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida",manufacturer,24-50,3yr,MBS,electrician,advanced,english,"bengali, russian",journeyAndMission,"cereals, seeds, noodles",234
7162,29/07/2024,Australia,25,,senectus et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus.,general practitioner,18-32,4yr,MBBS,,intermediate,english,"portugese, greek, persian",mission,soups,244
7165,26/10/2021,Germany,88,"architecture, prison","urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a,",painter,18-32,3yr,ME,builder,intermediate,english,,journey,"stews, seeds, wood, sandwiches",233
7168,30/08/2021,Australia,46,prison,tellus eu augue porttitor interdum. Sed auctor odio a purus.,builder,24-45,2yr,MIT,carpenter,advanced,english,french,mission,,56
7171,10/04/2023,United Kingdom,63,,"vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur massa.",civil engineer,18-50,7yr,ME,surgeon,intermediate,english,"hindi, greek, arabic",journey,cereals,202
7174,22/08/2020,New Zealand,58,"town planning, medical","vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at,",civil engineer,24-45,2yr,BE,manufacturer,expert,english,"greek, hausa",journey,noodles,168
7177,03/08/2021,Canada,65,,"taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec",nurse,18-32,4yr,BDS,nurse,expert,english,"french, javanese, punjabi",journey,"salads, seafood, stews",450
7180,22/02/2022,Austria,71,,"faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis",painter,24-45,7yr,ME,nurse,expert,english,"greek, arabic",journeyAndMission,"soups, stews, seeds",261
7183,20/09/2021,Canada,76,infrastructure,Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla,civil engineer,24-50,2yr,BE,surgeon,advanced,english,"hausa, persian",journey,"pork, beef",499
7186,13/08/2025,Canada,67,roads,"lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget",builder,24-50,6yr,MBS,nurse,advanced,english,,mission,"stews, salads, concrete, chicken",306
7189,17/06/2021,United States,72,,"auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus",,18-50,4yr,MBBS,builder,advanced,english,"russian, punjabi, persian",journey,,169
7192,31/12/2020,Russian Federation,40,"agriculture, town planning","diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam",,24-50,4yr,MBS,general practitioner,expert,english,hausa,mission,"chicken, salads",134
7195,06/02/2023,Russian Federation,46,,"nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam",civil engineer,18-32,2yr,ME,builder,expert,english,,journeyAndMission,"beef, seafood, noodles",163
7198,01/08/2024,Russian Federation,95,"prison, town planning","semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus",manufacturer,18-50,5yr,BE,nurse,intermediate,english,,mission,"pasta, concrete",119
7201,24/03/2024,Australia,63,,"in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci, adipiscing non,",painter,18-50,10yr,BDS,nurse,expert,english,"javanese, hausa, greek",journey,"surgical, seafood",304
7204,01/04/2023,New Zealand,88,railways,"sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing",painter,18-32,2yr,MS,manufacturer,expert,english,,mission,,370
7207,14/07/2024,Canada,54,,"tellus non magna. Nam ligula elit, pretium et, rutrum non, hendrerit",carpenter,24-50,8yr,MS,electrician,expert,english,,journeyAndMission,soups,177
7210,24/05/2021,United States,25,,"Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque",builder,18-50,10yr,MIT,civil engineer,advanced,english,,mission,"pork, sandwiches, surgical",412
7213,08/02/2023,Canada,63,"roads, infrastructure","lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium",painter,18-50,9yr,MIT,general practitioner,expert,english,"greek, portugese",journeyAndMission,"wood, beef, seafood, concrete",242
7216,28/03/2023,Russian Federation,45,"town planning, architecture","urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula",general practitioner,18-32,2yr,BE,,expert,english,"greek, arabic, persian",mission,"wood, beef",67
7219,27/07/2021,Russian Federation,67,,"rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed",manufacturer,18-32,8yr,MBBS,electrician,advanced,english,,journeyAndMission,"surgical, pies, beef",124
7222,03/10/2025,Russian Federation,29,infrastructure,"porta elit, a feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor",designer,18-50,1yr,MBBS,painter,expert,english,"mandarin, bengali, hindi",mission,"noodles, salads",360
7225,04/11/2024,Australia,74,,quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu.,general practitioner,24-50,2yr,ME,general practitioner,advanced,english,"portugese, bengali, hindi",mission,,276
7228,06/07/2023,United Kingdom,52,infrastructure,senectus et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus.,electrician,18-32,3yr,MBBS,painter,expert,english,"telugu, hausa",journeyAndMission,beef,24
7231,16/01/2022,India,26,"town planning, medical","Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non,",manufacturer,18-50,7yr,BE,carpenter,intermediate,english,"hindi, hausa, italian",journeyAndMission,"concrete, chicken",424
7234,27/01/2024,Germany,62,railways,"eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi.",manufacturer,18-50,2yr,BDS,painter,intermediate,english,"bengali, russian",mission,"seeds, noodles",487
7237,26/07/2024,United Kingdom,30,"medical, roads","diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis",carpenter,24-50,8yr,ME,,intermediate,english,punjabi,journey,"water, cereals, seafood",462
7240,12/07/2021,United Kingdom,32,,"aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla",civil engineer,18-50,3yr,MS,builder,advanced,english,"portugese, hindi, italian",mission,"stews, desserts",247
7243,15/07/2023,Austria,28,,"convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem",carpenter,18-50,10yr,MBBS,surgeon,intermediate,english,"hindi, bengali",journey,"surgical, salads",134
7246,03/04/2024,Russian Federation,44,"infrastructure, roads","nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis",,24-50,5yr,MBS,surgeon,expert,english,"greek, french, hindi",journey,"chicken, pork",474
7249,28/05/2021,Australia,44,,"pharetra, felis eget varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue,",builder,18-50,8yr,MIT,,advanced,english,"persian, french, arabic",mission,"desserts, soups, chicken",377
7252,04/11/2023,India,77,"architecture, town planning","elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et",,18-50,5yr,ME,,expert,english,"arabic, french",journey,"seeds, desserts, pasta, water",241
7255,10/11/2020,United States,94,"agriculture, architecture","sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim.",painter,18-32,3yr,BE,designer,intermediate,english,,mission,"stews, chicken",249
7258,20/04/2024,New Zealand,48,,pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam,general practitioner,18-50,6yr,MBS,nurse,advanced,english,telugu,mission,"noodles, chicken, salads",354
7261,11/10/2025,United Kingdom,84,medical,"sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum",designer,18-32,7yr,BE,designer,advanced,english,,journey,pies,301
7264,21/07/2021,Austria,62,"town planning, roads","Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat.",nurse,24-45,8yr,MS,surgeon,expert,english,,journeyAndMission,stews,396
7267,11/03/2022,United States,92,prison,"Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu.",general practitioner,18-50,8yr,BDS,manufacturer,advanced,english,,journey,beef,55
7270,05/11/2023,Canada,77,,tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas,electrician,18-32,3yr,MBS,designer,advanced,english,"persian, hindi",mission,water,454
7273,22/10/2021,Canada,89,"prison, medical",Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit,electrician,24-50,2yr,MIT,general practitioner,expert,english,bengali,journey,"water, desserts",22
7276,11/10/2022,New Zealand,44,,"libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.",designer,24-45,2yr,MBBS,electrician,intermediate,english,"russian, javanese, greek",journeyAndMission,"cereals, chicken, salads",359
7279,20/02/2025,Canada,27,,"et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor",general practitioner,24-50,1yr,BDS,builder,intermediate,english,,journeyAndMission,concrete,464
7282,13/02/2024,United Kingdom,88,railways,"fringilla ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus",,18-50,5yr,MS,general practitioner,advanced,english,"hindi, mandarin, italian",journeyAndMission,"water, salads",218
7285,09/10/2022,Austria,45,"architecture, railways","at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede.",carpenter,24-50,6yr,MBS,carpenter,intermediate,english,,journeyAndMission,"beef, pies, cereals",84
7288,23/09/2024,India,62,,"interdum. Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim",general practitioner,18-32,5yr,ME,builder,advanced,english,,journeyAndMission,"chicken, salads",476
7291,01/05/2024,Canada,35,"roads, medical",ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut,painter,18-50,5yr,MBS,surgeon,expert,english,"punjabi, javanese",journey,pies,451
7294,14/05/2025,Austria,86,,"nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus",manufacturer,24-45,3yr,MBS,nurse,intermediate,english,,journey,"pork, desserts, cereals, stews",340
7297,02/11/2024,India,47,agriculture,"Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo",surgeon,24-45,2yr,BDS,,expert,english,,journey,"cereals, soups",355
7300,15/01/2023,New Zealand,73,"prison, architecture",egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non,manufacturer,24-50,3yr,MIT,builder,expert,english,"greek, telugu, hindi",journey,"pies, chicken, salads",311
